p_type,flag,seq,my_data_req,my_data_res,check_it,num_class
1,8,7,199,0,0,0
3,4,5,0,0,0,0
3,7,3,0,0,0,0
1,2,4,101,0,0,1
5,5,10,0,0,0,0
4,6,11,0,0,0,0
5,8,6,0,0,0,0
1,3,3,101,0,0,1
5,7,4,0,0,0,0
3,4,5,0,0,0,0
1,3,3,103,0,0,1
2,2,7,0,216,12,0
2,3,3,0,204,2,1
5,6,9,0,0,0,0
2,4,3,0,205,2,1
2,4,6,0,204,2,1
3,5,3,0,0,0,0
2,2,6,0,204,2,1
2,3,3,0,205,2,1
2,2,4,0,204,3,1
4,4,6,0,0,0,0
1,3,4,102,0,0,1
2,4,6,0,205,3,1
2,4,5,0,203,2,1
2,2,4,0,205,3,1
2,4,5,0,204,3,1
5,7,8,0,0,0,0
1,3,6,103,0,0,1
2,4,8,0,229,7,0
2,4,5,0,206,3,1
2,4,11,0,222,3,0
3,2,8,0,0,0,0
1,2,5,101,0,0,1
1,7,7,172,0,0,0
2,4,8,0,229,8,0
1,4,4,103,0,0,1
4,3,7,0,0,0,0
5,3,11,0,0,0,0
2,2,5,0,206,2,1
1,7,9,196,0,0,0
1,2,5,103,0,0,1
1,4,3,101,0,0,1
2,3,6,0,204,2,1
1,3,3,101,0,0,1
1,2,6,101,0,0,1
1,4,3,102,0,0,1
1,3,4,102,0,0,1
4,8,6,0,0,0,0
5,7,10,0,0,0,0
2,3,4,0,206,3,1
1,2,3,102,0,0,1
2,3,4,0,206,3,1
5,4,10,0,0,0,0
2,2,5,0,203,3,1
2,2,3,0,205,3,1
1,2,5,101,0,0,1
1,2,4,103,0,0,1
2,2,6,0,203,2,1
5,2,11,0,0,0,0
5,5,9,0,0,0,0
5,6,9,0,0,0,0
1,2,4,102,0,0,1
5,8,4,0,0,0,0
1,4,4,103,0,0,1
1,2,5,101,0,0,1
2,3,5,0,204,2,1
1,3,6,190,0,0,0
2,4,6,0,212,2,0
2,2,4,0,203,2,1
4,7,10,0,0,0,0
3,8,5,0,0,0,0
2,2,3,0,206,3,1
2,2,6,0,203,2,1
3,4,8,0,0,0,0
1,8,3,155,0,0,0
1,4,6,101,0,0,1
3,8,4,0,0,0,0
5,6,10,0,0,0,0
1,3,4,102,0,0,1
3,7,3,0,0,0,0
4,5,7,0,0,0,0
2,7,11,0,210,10,0
1,2,6,101,0,0,1
1,3,3,102,0,0,1
3,2,3,0,0,0,0
2,2,4,0,204,2,1
5,8,3,0,0,0,0
1,2,6,103,0,0,1
4,8,8,0,0,0,0
2,3,5,0,205,3,1
2,4,6,0,204,3,1
4,7,9,0,0,0,0
2,4,5,0,205,2,1
2,4,5,0,206,2,1
2,7,9,0,218,9,0
2,4,5,0,203,3,1
4,8,4,0,0,0,0
1,2,3,103,0,0,1
2,2,3,0,205,2,1
3,3,10,0,0,0,0
2,3,6,0,204,3,1
1,2,4,102,0,0,1
1,2,7,191,0,0,0
1,3,6,102,0,0,1
1,2,6,101,0,0,1
2,3,4,0,204,3,1
2,8,3,0,209,11,0
1,3,3,103,0,0,1
3,8,7,0,0,0,0
2,2,4,0,204,2,1
4,8,5,0,0,0,0
5,4,9,0,0,0,0
1,2,5,103,0,0,1
4,7,3,0,0,0,0
2,3,3,0,203,2,1
4,4,6,0,0,0,0
3,4,11,0,0,0,0
1,2,3,101,0,0,1
5,7,6,0,0,0,0
5,3,8,0,0,0,0
2,4,6,0,203,3,1
2,2,5,0,203,3,1
3,7,9,0,0,0,0
2,3,5,0,204,2,1
1,4,11,201,0,0,0
1,4,4,102,0,0,1
3,4,8,0,0,0,0
1,2,3,101,0,0,1
2,6,11,0,218,8,0
4,6,6,0,0,0,0
2,4,4,0,203,3,1
2,4,5,0,203,3,1
1,3,3,103,0,0,1
1,3,3,103,0,0,1
1,4,3,101,0,0,1
2,3,3,0,203,2,1
2,3,5,0,206,2,1
2,4,3,0,203,3,1
1,8,10,158,0,0,0
2,2,5,0,206,3,1
2,7,6,0,207,12,0
1,3,3,103,0,0,1
5,8,6,0,0,0,0
5,3,4,0,0,0,0
1,3,4,103,0,0,0
2,8,5,0,233,6,0
1,5,9,156,0,0,0
1,4,3,102,0,0,1
5,8,8,0,0,0,0
2,4,3,0,205,2,1
2,4,4,0,206,2,1
4,8,10,0,0,0,0
2,4,6,0,203,3,1
2,4,5,0,232,10,0
1,6,7,119,0,0,0
1,4,6,101,0,0,1
1,3,6,102,0,0,1
5,5,11,0,0,0,0
2,2,5,0,204,3,1
1,6,7,197,0,0,0
5,7,3,0,0,0,0
2,3,5,0,204,3,1
1,2,3,103,0,0,1
1,2,3,103,0,0,0
1,4,5,103,0,0,1
5,7,10,0,0,0,0
2,4,6,0,205,3,1
5,6,9,0,0,0,0
2,4,5,0,206,2,1
4,7,6,0,0,0,0
1,2,5,101,0,0,1
1,2,9,158,0,0,0
4,5,5,0,0,0,0
2,4,4,0,212,10,0
1,4,6,102,0,0,1
4,3,10,0,0,0,0
2,3,6,0,204,3,1
1,2,8,190,0,0,0
5,5,5,0,0,0,0
1,3,4,102,0,0,1
1,2,4,102,0,0,1
2,4,6,0,206,3,1
1,2,3,101,0,0,1
1,3,4,101,0,0,1
4,8,4,0,0,0,0
1,2,9,140,0,0,0
1,7,10,109,0,0,0
4,4,4,0,0,0,0
3,8,5,0,0,0,0
1,2,5,102,0,0,1
2,3,5,0,204,3,1
4,7,9,0,0,0,0
1,3,5,103,0,0,1
2,3,6,0,206,2,1
3,3,7,0,0,0,0
3,5,11,0,0,0,0
1,3,3,103,0,0,1
4,8,6,0,0,0,0
2,2,6,0,224,4,0
2,2,5,0,204,2,1
1,2,5,103,0,0,1
2,3,5,0,205,3,1
1,4,3,102,0,0,1
4,7,11,0,0,0,0
1,2,5,101,0,0,1
2,2,3,0,231,11,0
1,2,5,101,0,0,1
2,4,6,0,205,3,1
2,5,5,0,212,12,0
1,2,5,102,0,0,1
2,2,6,0,204,2,1
3,5,4,0,0,0,0
3,7,6,0,0,0,0
1,2,4,156,0,0,0
2,2,6,0,203,2,1
2,4,4,0,206,2,1
2,2,6,0,203,3,1
2,3,3,0,205,2,1
2,2,4,0,205,2,1
2,3,5,0,206,2,1
1,4,6,102,0,0,1
2,2,4,0,205,3,1
3,5,7,0,0,0,0
1,3,5,102,0,0,1
3,2,6,0,0,0,0
4,5,10,0,0,0,0
5,4,8,0,0,0,0
1,8,8,113,0,0,0
2,3,3,0,206,2,1
1,4,6,102,0,0,1
3,3,9,0,0,0,0
5,4,10,0,0,0,0
5,2,11,0,0,0,0
3,7,11,0,0,0,0
2,4,9,0,233,12,0
5,6,7,0,0,0,0
1,2,4,102,0,0,1
2,6,10,0,227,12,0
2,4,6,0,206,3,1
5,4,7,0,0,0,0
5,4,11,0,0,0,0
3,6,9,0,0,0,0
1,2,10,160,0,0,0
1,3,3,103,0,0,1
5,6,3,0,0,0,0
2,3,3,0,206,2,1
2,4,3,0,205,3,1
1,2,3,101,0,0,1
1,3,4,101,0,0,1
5,6,9,0,0,0,0
4,3,4,0,0,0,0
4,7,11,0,0,0,0
2,3,3,0,203,2,1
1,3,6,103,0,0,1
5,5,7,0,0,0,0
2,4,5,0,204,2,1
1,7,10,177,0,0,0
2,4,5,0,203,3,1
4,2,10,0,0,0,0
5,8,11,0,0,0,0
1,4,4,103,0,0,1
3,5,10,0,0,0,0
1,4,3,101,0,0,1
1,4,6,102,0,0,1
2,8,7,0,223,4,0
1,4,5,103,0,0,1
1,3,4,103,0,0,1
2,2,5,0,206,3,1
2,3,6,0,204,2,1
1,3,4,103,0,0,1
1,2,6,101,0,0,1
3,6,4,0,0,0,0
2,7,3,0,230,2,0
1,4,11,194,0,0,0
2,2,9,0,206,11,0
2,4,4,0,213,12,0
2,3,3,0,229,12,0
5,2,5,0,0,0,0
2,2,8,0,231,10,0
5,7,10,0,0,0,0
1,2,3,101,0,0,1
3,4,7,0,0,0,0
3,8,7,0,0,0,0
3,6,5,0,0,0,0
1,4,3,103,0,0,1
5,6,8,0,0,0,0
2,3,4,0,206,2,1
2,4,6,0,204,3,1
2,4,4,0,205,2,1
1,7,3,169,0,0,0
2,4,4,0,206,3,1
1,2,5,102,0,0,1
3,5,11,0,0,0,0
2,4,4,0,203,2,1
2,4,5,0,203,2,1
1,4,3,103,0,0,1
1,4,6,103,0,0,1
2,3,5,0,206,2,1
5,6,4,0,0,0,0
1,2,4,103,0,0,1
3,5,9,0,0,0,0
5,7,5,0,0,0,0
4,7,10,0,0,0,0
2,2,5,0,224,7,0
4,8,11,0,0,0,0
2,4,3,0,205,2,1
1,6,11,147,0,0,0
4,3,6,0,0,0,0
5,7,9,0,0,0,0
1,3,6,101,0,0,1
2,4,4,0,205,3,1
1,2,3,102,0,0,1
5,2,9,0,0,0,0
5,4,4,0,0,0,0
2,3,4,0,203,2,1
2,4,3,0,206,2,1
3,6,4,0,0,0,0
2,3,6,0,205,3,1
2,4,5,0,205,2,1
1,2,4,102,0,0,1
4,5,6,0,0,0,0
2,2,4,0,203,3,1
2,2,6,0,203,3,1
2,2,4,0,205,3,1
1,3,6,101,0,0,1
5,7,7,0,0,0,0
4,4,6,0,0,0,0
4,8,6,0,0,0,0
5,8,4,0,0,0,0
2,7,11,0,221,6,0
4,7,6,0,0,0,0
2,3,5,0,203,2,1
2,4,6,0,203,3,1
2,4,5,0,206,3,1
1,6,9,141,0,0,0
2,3,5,0,205,2,1
3,6,7,0,0,0,0
5,8,10,0,0,0,0
2,4,6,0,205,2,1
1,4,4,101,0,0,1
5,2,11,0,0,0,0
2,3,3,0,203,2,1
4,5,4,0,0,0,0
1,4,4,103,0,0,1
2,3,4,0,204,3,1
1,3,4,102,0,0,1
5,4,11,0,0,0,0
5,4,10,0,0,0,0
2,8,7,0,206,11,0
2,5,9,0,217,2,0
4,4,6,0,0,0,0
4,4,9,0,0,0,0
2,3,3,0,205,3,1
1,3,3,101,0,0,1
2,3,5,0,205,2,1
5,8,11,0,0,0,0
1,2,6,101,0,0,1
2,2,3,0,203,2,1
2,4,10,0,226,8,0
3,7,6,0,0,0,0
1,3,3,101,0,0,1
1,4,5,198,0,0,0
2,5,5,0,226,8,0
3,3,5,0,0,0,0
5,3,4,0,0,0,0
1,4,3,103,0,0,1
1,2,5,102,0,0,1
2,3,6,0,206,2,1
1,4,3,103,0,0,1
3,7,10,0,0,0,0
5,5,3,0,0,0,0
1,3,4,102,0,0,1
4,8,4,0,0,0,0
5,8,7,0,0,0,0
3,5,6,0,0,0,0
4,6,7,0,0,0,0
1,2,5,102,0,0,1
4,6,7,0,0,0,0
3,5,5,0,0,0,0
2,4,4,0,204,2,1
4,4,7,0,0,0,0
5,5,9,0,0,0,0
2,3,3,0,206,3,1
2,3,5,0,206,2,1
1,3,5,101,0,0,1
2,2,4,0,203,2,1
5,2,4,0,0,0,0
5,4,7,0,0,0,0
2,3,3,0,213,8,0
1,2,3,101,0,0,1
4,3,3,0,0,0,0
2,2,4,0,212,11,0
4,5,3,0,0,0,0
2,2,3,0,206,2,1
2,3,3,0,204,3,1
2,2,6,0,203,2,1
1,2,3,102,0,0,1
3,6,6,0,0,0,0
3,4,5,0,0,0,0
5,8,5,0,0,0,0
2,3,4,0,203,3,1
2,4,4,0,209,6,0
2,6,7,0,209,5,0
2,2,6,0,203,3,1
1,3,4,102,0,0,1
1,2,4,101,0,0,1
4,5,7,0,0,0,0
2,4,6,0,203,2,1
3,5,4,0,0,0,0
4,3,4,0,0,0,0
4,4,5,0,0,0,0
1,4,3,102,0,0,1
3,8,6,0,0,0,0
4,4,11,0,0,0,0
5,7,6,0,0,0,0
1,2,5,102,0,0,1
3,3,6,0,0,0,0
2,7,11,0,230,12,0
1,2,6,101,0,0,1
5,2,11,0,0,0,0
1,2,4,101,0,0,1
2,3,10,0,227,7,0
1,3,6,103,0,0,1
1,5,5,134,0,0,0
1,2,6,101,0,0,1
3,5,10,0,0,0,0
1,4,8,119,0,0,0
2,3,7,0,224,10,0
1,4,6,102,0,0,1
2,3,5,0,206,3,1
1,5,7,109,0,0,0
1,7,8,198,0,0,0
3,5,4,0,0,0,0
2,4,6,0,204,3,1
2,4,3,0,206,2,1
2,4,6,0,205,3,1
3,8,6,0,0,0,0
1,2,3,102,0,0,1
2,3,6,0,205,3,1
5,2,9,0,0,0,0
5,6,7,0,0,0,0
2,4,4,0,225,7,0
4,4,7,0,0,0,0
1,4,5,101,0,0,1
1,3,4,103,0,0,1
1,2,4,103,0,0,1
1,5,5,130,0,0,0
5,5,9,0,0,0,0
5,2,4,0,0,0,0
1,3,6,101,0,0,1
5,2,9,0,0,0,0
2,2,3,0,203,2,1
2,4,4,0,203,3,1
1,4,3,102,0,0,1
1,2,5,102,0,0,1
2,8,4,0,228,9,0
2,4,10,0,218,9,0
2,4,4,0,206,2,1
1,2,5,103,0,0,1
4,6,10,0,0,0,0
2,6,8,0,210,13,0
1,4,5,102,0,0,1
2,3,3,0,205,3,1
2,3,3,0,203,3,1
2,2,3,0,204,3,1
3,3,10,0,0,0,0
3,8,3,0,0,0,0
3,4,6,0,0,0,0
4,3,6,0,0,0,0
1,3,6,102,0,0,1
5,4,3,0,0,0,0
4,8,6,0,0,0,0
5,5,5,0,0,0,0
1,4,3,103,0,0,1
1,4,5,103,0,0,1
5,7,8,0,0,0,0
3,3,5,0,0,0,0
1,3,6,103,0,0,1
1,3,5,101,0,0,1
1,3,8,125,0,0,0
